"","Facility ID","Facility Name","Address 1","Address 2","City","State","Postal Code","Country","URL","Phone","Begin Date","End Date","Active","City Operated","Notes","Location"
"1",56,"Loretto Hospital","645 S Central Ave",NA,"Chicago","IL","60644","United States of America","http://www.lorettohospital.org","(312) 626-4300","01/01/2021","12/31/2021",TRUE,FALSE,"Current and invited patients only (call to confirm)","POINT (-87.764443 41.872042)"
"2",92,"Primecare Wicker Park Health Center","1127 N Oakley Blvd","Fl 2","Chicago","IL","60622","United States of America","https://primecarehealth.org/",NA,"01/01/2021","12/31/2021",TRUE,FALSE,"Open to current patients only.","POINT (-87.68461 41.902138)"
"3",207,"Walgreens Store #232","3405 S KING DR",NA,"Chicago","IL","60616","United States of America","www.walgreens.com/schedulevaccine",NA,"03/01/2021","12/31/2021",TRUE,FALSE,"Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.","POINT (-87.616993 41.832627)"
"4",126,"Walgreens Store #6641","1614 W 47th St",NA,"Chicago","IL","60609","United States of America","www.walgreens.com/schedulevaccine",NA,"01/01/2021","12/31/2021",TRUE,FALSE,"Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.","POINT (-87.66575 41.808651)"
"5",1,"ACCESS Center for Discovery and Learning","5159 S Ashland Ave",NA,"Chicago","IL","60609","United States of America","https://www.achn.net","(800) 836-7633","02/04/2021","12/31/2021",FALSE,FALSE,"Open to current patients only.","POINT (-87.664649 41.800288)"
"6",111,"Walgreens Store #3321","5874 S Archer Ave",NA,"Chicago","IL","60638","United States of America","www.walgreens.com/schedulevaccine",NA,"01/01/2021","12/31/2021",TRUE,FALSE,"Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.","POINT (-87.761992 41.795836)"
"7",239,"Walgreens Store #5121","5935 W ADDISON ST",NA,"Chicago","IL","60634","United States of America","www.walgreens.com/schedulevaccine",NA,"03/01/2021","12/31/2021",TRUE,FALSE,"Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.","POINT (-87.775442 41.945798)"
"8",141,"UI Health - UIC Credit Union 1 Arena","525 S Racine Ave",NA,"Chicago","Il","60607","United States of America","https://hospital.uillinois.edu/primary-and-specialty-care/infectious-diseases/covid-19-coronavirus/vaccine",NA,"01/28/2021","12/31/2021",TRUE,FALSE,"Open to community and current patients.","POINT (-87.65659 41.869414)"
"9",28,"Austin Health Center of Cook County","4800 W Chicago Ave",NA,"Chicago","IL","60651","United States of America","https://cookcountyhealth.org/locations/austin-health-center/","(773) 826-9600","01/01/2021","12/31/2021",TRUE,FALSE,"Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.","POINT (-87.746091 41.895034)"
"10",189,"PIC - Bucktown","1702 N. Milwaukee",NA,"Chicago","IL","60647","United States of America","https://physiciansimmediatecare.com/covid-19-vaccination-locations/",NA,"02/17/2021","12/31/2021",TRUE,FALSE,NA,"POINT (-87.680456 41.912325)"
"11",271,"Walgreens Store # 13798","5440 N CLARK ST",NA,"Chicago","IL","60640","United States of America","www.walgreens.com/schedulevaccine",NA,"03/01/2021","12/31/2021",TRUE,FALSE,"Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.","POINT (-87.668394 41.98112)"
