"","Date","Geography","layer","value"
"1",2020-03-01,"Chicago","Cases",0
"2",2020-03-02,"Chicago","Cases",0
"3",2020-03-03,"Chicago","Cases",0
"4",2020-03-04,"Chicago","Cases",0
"5",2020-03-05,"Chicago","Cases",1
"6",2020-03-06,"Chicago","Cases",3
"7",2020-03-07,"Chicago","Cases",3
"8",2020-03-08,"Chicago","Cases",3
"9",2020-03-09,"Chicago","Cases",5
"10",2020-03-10,"Chicago","Cases",11
"11",2020-03-11,"Chicago","Cases",12
"12",2020-03-12,"Chicago","Cases",21
"13",2020-03-13,"Chicago","Cases",32
"14",2020-03-14,"Chicago","Cases",31
"15",2020-03-15,"Chicago","Cases",40
"16",2020-03-16,"Chicago","Cases",78
"17",2020-03-17,"Chicago","Cases",96
"18",2020-03-18,"Chicago","Cases",162
"19",2020-03-19,"Chicago","Cases",184
"20",2020-03-20,"Chicago","Cases",155
"21",2020-03-21,"Chicago","Cases",125
"22",2020-03-22,"Chicago","Cases",168
"23",2020-03-23,"Chicago","Cases",291
"24",2020-03-24,"Chicago","Cases",350
"25",2020-03-25,"Chicago","Cases",367
"26",2020-03-26,"Chicago","Cases",413
"27",2020-03-27,"Chicago","Cases",404
"28",2020-03-28,"Chicago","Cases",249
"29",2020-03-29,"Chicago","Cases",282
"30",2020-03-30,"Chicago","Cases",439
"31",2020-03-31,"Chicago","Cases",488
"32",2020-04-01,"Chicago","Cases",459
"33",2020-04-02,"Chicago","Cases",438
"34",2020-04-03,"Chicago","Cases",467
"35",2020-04-04,"Chicago","Cases",326
"36",2020-04-05,"Chicago","Cases",292
"37",2020-04-06,"Chicago","Cases",583
"38",2020-04-07,"Chicago","Cases",555
"39",2020-04-08,"Chicago","Cases",704
"40",2020-04-09,"Chicago","Cases",577
"41",2020-04-10,"Chicago","Cases",571
"42",2020-04-11,"Chicago","Cases",398
"43",2020-04-12,"Chicago","Cases",341
"44",2020-04-13,"Chicago","Cases",692
"45",2020-04-14,"Chicago","Cases",664
"46",2020-04-15,"Chicago","Cases",628
"47",2020-04-16,"Chicago","Cases",680
"48",2020-04-17,"Chicago","Cases",773
"49",2020-04-18,"Chicago","Cases",535
"50",2020-04-19,"Chicago","Cases",459
"51",2020-04-20,"Chicago","Cases",990
"52",2020-04-21,"Chicago","Cases",870
"53",2020-04-22,"Chicago","Cases",1056
"54",2020-04-23,"Chicago","Cases",1466
"55",2020-04-24,"Chicago","Cases",1076
"56",2020-04-25,"Chicago","Cases",634
"57",2020-04-26,"Chicago","Cases",434
"58",2020-04-27,"Chicago","Cases",1156
"59",2020-04-28,"Chicago","Cases",1323
"60",2020-04-29,"Chicago","Cases",1152
"61",2020-04-30,"Chicago","Cases",1270
"62",2020-05-01,"Chicago","Cases",1168
"63",2020-05-02,"Chicago","Cases",717
"64",2020-05-03,"Chicago","Cases",466
"65",2020-05-04,"Chicago","Cases",1120
"66",2020-05-05,"Chicago","Cases",1091
"67",2020-05-06,"Chicago","Cases",974
"68",2020-05-07,"Chicago","Cases",939
"69",2020-05-08,"Chicago","Cases",924
"70",2020-05-09,"Chicago","Cases",521
"71",2020-05-10,"Chicago","Cases",307
"72",2020-05-11,"Chicago","Cases",1014
"73",2020-05-12,"Chicago","Cases",942
"74",2020-05-13,"Chicago","Cases",876
"75",2020-05-14,"Chicago","Cases",776
"76",2020-05-15,"Chicago","Cases",972
"77",2020-05-16,"Chicago","Cases",516
"78",2020-05-17,"Chicago","Cases",326
"79",2020-05-18,"Chicago","Cases",945
"80",2020-05-19,"Chicago","Cases",891
"81",2020-05-20,"Chicago","Cases",770
"82",2020-05-21,"Chicago","Cases",804
"83",2020-05-22,"Chicago","Cases",725
"84",2020-05-23,"Chicago","Cases",329
"85",2020-05-24,"Chicago","Cases",280
"86",2020-05-25,"Chicago","Cases",252
"87",2020-05-26,"Chicago","Cases",755
"88",2020-05-27,"Chicago","Cases",611
"89",2020-05-28,"Chicago","Cases",521
"90",2020-05-29,"Chicago","Cases",460
"91",2020-05-30,"Chicago","Cases",239
"92",2020-05-31,"Chicago","Cases",121
"93",2020-06-01,"Chicago","Cases",236
"94",2020-06-02,"Chicago","Cases",246
"95",2020-06-03,"Chicago","Cases",279
"96",2020-06-04,"Chicago","Cases",319
"97",2020-06-05,"Chicago","Cases",339
"98",2020-06-06,"Chicago","Cases",170
"99",2020-06-07,"Chicago","Cases",110
"100",2020-06-08,"Chicago","Cases",274
"101",2020-06-09,"Chicago","Cases",254
"102",2020-06-10,"Chicago","Cases",234
"103",2020-06-11,"Chicago","Cases",201
"104",2020-06-12,"Chicago","Cases",247
"105",2020-06-13,"Chicago","Cases",121
"106",2020-06-14,"Chicago","Cases",92
"107",2020-06-15,"Chicago","Cases",235
"108",2020-06-16,"Chicago","Cases",212
"109",2020-06-17,"Chicago","Cases",219
"110",2020-06-18,"Chicago","Cases",184
"111",2020-06-19,"Chicago","Cases",219
"112",2020-06-20,"Chicago","Cases",124
