"","Date","Category","Value","layer"
"1",2020-03-14,"Deaths_Age0_17",0,"DeathsAgeT"
"2",2020-03-15,"Deaths_Age0_17",0,"DeathsAgeT"
"3",2020-03-16,"Deaths_Age0_17",0,"DeathsAgeT"
"4",2020-03-17,"Deaths_Age0_17",0,"DeathsAgeT"
"5",2020-03-18,"Deaths_Age0_17",0,"DeathsAgeT"
"6",2020-03-19,"Deaths_Age0_17",0,"DeathsAgeT"
"7",2020-03-20,"Deaths_Age0_17",0,"DeathsAgeT"
"8",2020-03-21,"Deaths_Age0_17",0,"DeathsAgeT"
"9",2020-03-22,"Deaths_Age0_17",0,"DeathsAgeT"
"10",2020-03-23,"Deaths_Age0_17",1,"DeathsAgeT"
"11",2020-03-24,"Deaths_Age0_17",0,"DeathsAgeT"
"12",2020-03-25,"Deaths_Age0_17",0,"DeathsAgeT"
"13",2020-03-26,"Deaths_Age0_17",0,"DeathsAgeT"
"14",2020-03-27,"Deaths_Age0_17",0,"DeathsAgeT"
"15",2020-03-28,"Deaths_Age0_17",0,"DeathsAgeT"
"16",2020-03-29,"Deaths_Age0_17",0,"DeathsAgeT"
"17",2020-03-30,"Deaths_Age0_17",0,"DeathsAgeT"
"18",2020-03-31,"Deaths_Age0_17",0,"DeathsAgeT"
"19",2020-04-01,"Deaths_Age0_17",0,"DeathsAgeT"
"20",2020-04-02,"Deaths_Age0_17",0,"DeathsAgeT"
"21",2020-04-03,"Deaths_Age0_17",0,"DeathsAgeT"
"22",2020-04-04,"Deaths_Age0_17",0,"DeathsAgeT"
"23",2020-04-05,"Deaths_Age0_17",0,"DeathsAgeT"
"24",2020-04-06,"Deaths_Age0_17",0,"DeathsAgeT"
"25",2020-04-07,"Deaths_Age0_17",0,"DeathsAgeT"
"26",2020-04-08,"Deaths_Age0_17",0,"DeathsAgeT"
"27",2020-04-09,"Deaths_Age0_17",0,"DeathsAgeT"
"28",2020-04-10,"Deaths_Age0_17",0,"DeathsAgeT"
"29",2020-04-11,"Deaths_Age0_17",0,"DeathsAgeT"
"30",2020-04-12,"Deaths_Age0_17",0,"DeathsAgeT"
"31",2020-04-13,"Deaths_Age0_17",0,"DeathsAgeT"
"32",2020-04-14,"Deaths_Age0_17",0,"DeathsAgeT"
"33",2020-04-15,"Deaths_Age0_17",0,"DeathsAgeT"
"34",2020-04-16,"Deaths_Age0_17",0,"DeathsAgeT"
"35",2020-04-17,"Deaths_Age0_17",0,"DeathsAgeT"
"36",2020-04-18,"Deaths_Age0_17",0,"DeathsAgeT"
"37",2020-04-19,"Deaths_Age0_17",0,"DeathsAgeT"
"38",2020-04-20,"Deaths_Age0_17",0,"DeathsAgeT"
