"","Date","Category","Rate_Cat","Layer","Label","WeekNo","EndDate","Rate_Ref","Order"
"1",2020-03-07,"Age0_17",0,"Cases","Age",9,2020-03-07,20.6173887575869,1
"2",2020-03-07,"Age0_17",0,"Deaths","Age",9,2020-03-07,20.6173887575869,1
"3",2020-03-07,"Age0_17",0,"Hospitalizations","Age",9,2020-03-07,20.6173887575869,1
"4",2020-03-07,"Age18_29",0,"Cases","Age",9,2020-03-07,19.5544178660477,2
"5",2020-03-07,"Age18_29",0,"Deaths","Age",9,2020-03-07,19.5544178660477,2
"6",2020-03-07,"Age18_29",4.34782608695652,"Hospitalizations","Age",9,2020-03-07,19.5544178660477,2
"7",2020-03-07,"Age30_39",0,"Cases","Age",9,2020-03-07,17.4204581435723,3
"8",2020-03-07,"Age30_39",0,"Deaths","Age",9,2020-03-07,17.4204581435723,3
"9",2020-03-07,"Age30_39",17.3913043478261,"Hospitalizations","Age",9,2020-03-07,17.4204581435723,3
"10",2020-03-07,"Age40_49",28.5714285714286,"Cases","Age",9,2020-03-07,12.6289598319796,4
"11",2020-03-07,"Age40_49",0,"Deaths","Age",9,2020-03-07,12.6289598319796,4
"12",2020-03-07,"Age40_49",26.0869565217391,"Hospitalizations","Age",9,2020-03-07,12.6289598319796,4
"13",2020-03-07,"Age50_59",28.5714285714286,"Cases","Age",9,2020-03-07,10.9453781590588,5
"14",2020-03-07,"Age50_59",0,"Deaths","Age",9,2020-03-07,10.9453781590588,5
"15",2020-03-07,"Age50_59",17.3913043478261,"Hospitalizations","Age",9,2020-03-07,10.9453781590588,5
"16",2020-03-07,"Age60_69",14.2857142857143,"Cases","Age",9,2020-03-07,9.68867751884865,6
"17",2020-03-07,"Age60_69",0,"Deaths","Age",9,2020-03-07,9.68867751884865,6
"18",2020-03-07,"Age60_69",8.69565217391304,"Hospitalizations","Age",9,2020-03-07,9.68867751884865,6
"19",2020-03-07,"Age70_79",28.5714285714286,"Cases","Age",9,2020-03-07,5.85717896968736,7
"20",2020-03-07,"Age70_79",0,"Deaths","Age",9,2020-03-07,5.85717896968736,7
"21",2020-03-07,"Age70_79",21.7391304347826,"Hospitalizations","Age",9,2020-03-07,5.85717896968736,7
"22",2020-03-07,"Age80Pl",0,"Cases","Age",9,2020-03-07,3.28754075321859,8
"23",2020-03-07,"Age80Pl",0,"Deaths","Age",9,2020-03-07,3.28754075321859,8
"24",2020-03-07,"Age80Pl",4.34782608695652,"Hospitalizations","Age",9,2020-03-07,3.28754075321859,8
"25",2020-03-07,"Female",57.1428571428571,"Cases","Gender",9,2020-03-07,51.319563512288,9
"26",2020-03-07,"Female",0,"Deaths","Gender",9,2020-03-07,51.319563512288,9
"27",2020-03-07,"Female",39.1304347826087,"Hospitalizations","Gender",9,2020-03-07,51.319563512288,9
"28",2020-03-07,"Male",42.8571428571429,"Cases","Gender",9,2020-03-07,48.680436487712,10
"29",2020-03-07,"Male",0,"Deaths","Gender",9,2020-03-07,48.680436487712,10
"30",2020-03-07,"Male",60.8695652173913,"Hospitalizations","Gender",9,2020-03-07,48.680436487712,10
"31",2020-03-07,"Latinx",0,"Cases","Race",9,2020-03-07,28.8159545115572,11
"32",2020-03-07,"Latinx",0,"Deaths","Race",9,2020-03-07,28.8159545115572,11
"33",2020-03-07,"Latinx",8.69565217391304,"Hospitalizations","Race",9,2020-03-07,28.8159545115572,11
"34",2020-03-07,"AsianNL",0,"Cases","Race",9,2020-03-07,6.85860475233662,12
"35",2020-03-07,"AsianNL",0,"Deaths","Race",9,2020-03-07,6.85860475233662,12
"36",2020-03-07,"AsianNL",0,"Hospitalizations","Race",9,2020-03-07,6.85860475233662,12
"37",2020-03-07,"BlackNL",42.8571428571429,"Cases","Race",9,2020-03-07,28.5276798941632,13
"38",2020-03-07,"BlackNL",0,"Deaths","Race",9,2020-03-07,28.5276798941632,13
"39",2020-03-07,"BlackNL",47.8260869565217,"Hospitalizations","Race",9,2020-03-07,28.5276798941632,13
