"","Date","Geography","Cases","Cases7d","Casescm","Deaths","Deaths7d","Deathscm"
"1",2020-03-14,"Chicago",31,16.5714285714286,123,0,0,0
"2",2020-03-14,"Cook",10,6.28571428571429,50,0,0,0
"3",2020-03-14,"Illinois",18,8.28571428571429,64,0,0,0
"4",2020-03-14,"US",414,209.285714285714,1682,5,4.28571428571429,41
"5",2020-03-15,"Chicago",40,21.8571428571429,163,0,0,0
"6",2020-03-15,"Cook",0,6.14285714285714,50,0,0,0
"7",2020-03-15,"Illinois",2,8.42857142857143,66,0,0,0
"8",2020-03-15,"US",36,214.428571428571,1718,0,4.28571428571429,41
"9",2020-03-16,"Chicago",78,32.2857142857143,241,1,0.142857142857143,1
"10",2020-03-16,"Cook",12,7.85714285714286,62,0,0,0
"11",2020-03-16,"Illinois",17,10.8571428571429,83,0,0,0
"12",2020-03-16,"US",0,177.428571428571,1718,0,3.14285714285714,41
"13",2020-03-17,"Chicago",96,44.4285714285714,337,1,0.285714285714286,2
"14",2020-03-17,"Cook",45,13.7142857142857,107,1,0.142857142857143,1
"15",2020-03-17,"Illinois",78,21.2857142857143,161,1,0.142857142857143,1
"16",2020-03-17,"US",1822,405.714285714286,3540,17,4.71428571428571,58
"17",2020-03-18,"Chicago",162,65.7142857142857,499,1,0.428571428571429,3
"18",2020-03-18,"Cook",71,22.2857142857143,178,0,0.142857142857143,1
"19",2020-03-18,"Illinois",111,35.2857142857143,272,0,0.142857142857143,1
"20",2020-03-18,"US",820,522.857142857143,4360,21,7.71428571428571,79
"21",2020-03-19,"Chicago",184,89,683,2,0.714285714285714,5
"22",2020-03-19,"Cook",100,35.8571428571429,278,1,0.285714285714286,2
"23",2020-03-19,"Illinois",144,54.8571428571429,416,3,0.571428571428571,4
"24",2020-03-19,"US",6082,1350.14285714286,10442,71,17.2857142857143,150
"25",2020-03-20,"Chicago",155,106.571428571429,838,0,0.714285714285714,5
"26",2020-03-20,"Cook",0,34,278,0,0.285714285714286,2
"27",2020-03-20,"Illinois",2,53.1428571428571,418,0,0.571428571428571,4
"28",2020-03-20,"US",4777,1993,15219,51,23.5714285714286,201
"29",2020-03-21,"Chicago",125,120,963,2,1,7
"30",2020-03-21,"Cook",270,71.1428571428571,548,1,0.428571428571429,3
"31",2020-03-21,"Illinois",332,98,750,1,0.714285714285714,5
"32",2020-03-21,"US",0,1933.85714285714,15219,0,22.8571428571429,201
"33",2020-03-22,"Chicago",168,138.285714285714,1131,2,1.28571428571429,9
"34",2020-03-22,"Cook",257,107.857142857143,805,1,0.571428571428571,4
"35",2020-03-22,"Illinois",297,140.142857142857,1047,1,0.857142857142857,6
"36",2020-03-22,"US",0,1928.71428571429,15219,0,22.8571428571429,201
"37",2020-03-23,"Chicago",290,168.571428571429,1421,3,1.57142857142857,12
"38",2020-03-23,"Cook",117,122.857142857143,922,5,1.28571428571429,9
"39",2020-03-23,"Illinois",175,162.714285714286,1222,6,1.71428571428571,12
"40",2020-03-23,"US",16354,4265,31573,201,51.5714285714286,402
"41",2020-03-24,"Chicago",350,204.857142857143,1771,2,1.71428571428571,14
"42",2020-03-24,"Cook",272,155.285714285714,1194,0,1.14285714285714,9
"43",2020-03-24,"Illinois",315,196.571428571429,1537,0,1.57142857142857,12
"44",2020-03-24,"US",10591,5517.71428571429,42164,69,59,471
"45",2020-03-25,"Chicago",367,234.142857142857,2138,5,2.28571428571429,19
"46",2020-03-25,"Cook",224,177.142857142857,1418,5,1.85714285714286,14
"47",2020-03-25,"Illinois",326,227.285714285714,1863,7,2.57142857142857,19
"48",2020-03-25,"US",9750,6793.42857142857,51914,202,84.8571428571429,673
"49",2020-03-26,"Chicago",413,266.857142857143,2551,2,2.28571428571429,21
