"","date","doses","dosescm","fdoses","fdosescm","sdoses","sdosescm","pop","doses7d","dosert","fdoses7d","fdosert","sdoses7d","sdosert"
"1",2020-12-16,9,9,9,9,0,0,110029,0,0.00817966172554508,0,0.00817966172554508,0,0
"2",2020-12-17,148,157,148,157,0,0,110029,0,0.14268965454562,0,0.14268965454562,0,0
"3",2020-12-18,1970,2127,1970,2127,0,0,110029,0,1.93312672113715,0,1.93312672113715,0,0
"4",2020-12-19,5764,7891,5764,7891,0,0,110029,0,7.17174563069736,0,7.17174563069736,0,0
"5",2020-12-20,3494,11385,3494,11385,0,0,110029,0,10.3472720828145,0,10.3472720828145,0,0
"6",2020-12-21,924,12309,924,12309,0,0,110029,0,11.1870506866372,0,11.1870506866372,0,0
"7",2020-12-22,4314,16623,4314,16623,0,0,110029,2374.71428571429,15.1078352070818,2374.71428571429,15.1078352070818,0,0
"8",2020-12-23,3605,20228,3605,20228,0,0,110029,2888.42857142857,18.384244153814,2888.42857142857,18.384244153814,0,0
"9",2020-12-24,2756,22984,2756,22984,0,0,110029,3261,20.8890383444365,3261,20.8890383444365,0,0
"10",2020-12-25,954,23938,954,23938,0,0,110029,3115.85714285714,21.7560824873442,3115.85714285714,21.7560824873442,0,0
"11",2020-12-26,3,23941,3,23941,0,0,110029,2292.85714285714,21.7588090412528,2292.85714285714,21.7588090412528,0,0
"12",2020-12-27,477,24418,477,24418,0,0,110029,1861.85714285714,22.1923311127067,1861.85714285714,22.1923311127067,0,0
"13",2020-12-28,11,24429,11,24429,0,0,110029,1731.42857142857,22.2023284770379,1731.42857142857,22.2023284770379,0,0
"14",2020-12-29,2356,26785,2356,26785,0,0,110029,1451.71428571429,24.343582146525,1451.71428571429,24.343582146525,0,0
"15",2020-12-30,4197,30982,4197,30982,0,0,110029,1536.28571428571,28.1580310645375,1536.28571428571,28.1580310645375,0,0
"16",2020-12-31,4946,35928,4946,35928,0,0,110029,1849.14285714286,32.653209608376,1849.14285714286,32.653209608376,0,0
"17",2021-01-01,1973,37901,1973,37901,0,0,110029,1994.71428571429,34.446373228876,1994.71428571429,34.446373228876,0,0
"18",2021-01-02,172,38073,172,38073,0,0,110029,2018.85714285714,34.6026956529642,2018.85714285714,34.6026956529642,0,0
"19",2021-01-03,1500,39573,1500,39573,0,0,110029,2165,35.9659726072217,2165,35.9659726072217,0,0
"20",2021-01-04,1096,40669,1072,40645,24,24,110029,2320,36.9620736351326,2316.57142857143,36.9402612038644,3.42857142857143,0.0218124312681202
"21",2021-01-05,3689,44358,3458,44103,231,255,110029,2510.42857142857,40.3148260913032,2474,40.0830690090794,36.4285714285714,0.231757082223777
"22",2021-01-06,4601,48959,4300,48403,301,556,110029,2568.14285714286,44.4964509356624,2488.71428571429,43.9911296112843,79.4285714285714,0.505321324378118
"23",2021-01-07,3992,52951,3236,51639,756,1312,110029,2431.85714285714,48.1245853365931,2244.42857142857,46.9321724272692,187.428571428571,1.19241290932391
"24",2021-01-08,6163,59114,2913,54552,3250,4562,110029,3030.42857142857,53.7258359159858,2378.71428571429,49.5796562724373,651.714285714286,4.14617964354852
"25",2021-01-09,9102,68216,3762,58314,5340,9902,110029,4306.14285714286,61.9982004744204,2891.57142857143,52.9987548737151,1414.57142857143,8.99944560070527
"26",2021-01-10,4202,72418,1453,59767,2749,12651,110029,4692.14285714286,65.8171936489471,2884.85714285714,54.3193158167392,1807.28571428571,11.4978778322079
"27",2021-01-11,1647,74065,867,60634,780,13431,110029,4770.85714285714,67.3140717447218,2855.57142857143,55.1072898963001,1915.28571428571,12.2067818484218
"28",2021-01-12,5852,79917,2124,62758,3728,17159,110029,5079.85714285714,72.6326695689318,2665,57.0376900635287,2414.85714285714,15.5949795054031
"29",2021-01-13,6817,86734,3757,66515,3060,20219,110029,5396.42857142857,78.8283089003808,2587.42857142857,60.4522444082924,2809,18.3760644920884
"30",2021-01-14,6650,93384,4260,70775,2390,22609,110029,5776.14285714286,84.8721700642558,2733.71428571429,64.3239509583837,3042.42857142857,20.5482191058721
"31",2021-01-15,4785,98169,3939,74714,846,23455,110029,5579.28571428571,89.2210235483373,2880.28571428571,67.9039162402639,2699,21.3171073080733
"32",2021-01-16,4382,102551,3865,78579,517,23972,110029,4905,93.2036099573749,2895,71.4166265257341,2010,21.7869834316407
"33",2021-01-17,3093,105644,2584,81163,509,24481,110029,4746.57142857143,96.0146870370539,3056.57142857143,73.7650982922684,1690,22.2495887447855
"34",2021-01-18,1244,106888,817,81980,427,24908,110029,4689,97.1452980577848,3049.42857142857,74.5076298066873,1639.57142857143,22.6376682510974
