"","ZCTA5","WeekNo","StartDate","EndDate","CasesWk","CasesCm","CasesWkRt","CasesCmRt","TestsWk","TestsCm","TestsWkRt","TestsCmRt","PctPosWk","PctPosCum","DeathsWk","DeathsCm","DeathsWkRt","DeathsCmRt","RowID","TOTPOP","REGION","ZCTA5No","SurvCm","NotTestedCm","NotInfCm","CasesWkRtLag1wk","DeathsWkRtLag1wk","PctPosWkLag1wk","PctPosWk_adj","CasesWkRt_adj","DeathsWkRt_adj","PctPosWk_trd","CasesWkRt_trd","DeathsWkRt_trd","Hardship","CasesWkRt_qa","PctPosWk_qa","Hardship_qa","color","DeathsWkRt_qa","CasesWk_c","DeathsWk_c","CasesWkRt_c","DeathsWkRt_c","PctPosWk_c","CasesRtDiff","DeathsRtDiff","PctPosDiff"
"1","60634",12,2020-03-16,2020-03-22,17,18,22,23.7,66,72,87,94.7,25.7575757575758,25,0,0,0,0,"60634-2020-12",75995,"northwest",60634,75995,75923,75977,0,0,0,68.6868686868687,30.1369863013699,0,68.6868686868687,30.1369863013699,0,33.1158344144101,1,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,-7.59824616872154,0,4.8723048341466
"2","60644",12,2020-03-16,2020-03-22,18,23,38,48.2,79,93,166,194.9,22.7848101265823,24.7311827956989,0,0,0,0,"60644-2020-12",47712,"central",60644,47712,47619,47689,0,0,0,60.7594936708861,52.0547945205479,0,60.7594936708861,52.0547945205479,0,37.8040230040783,1,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,8.40175383127846,0,1.89953920315313
"3","60633",12,2020-03-16,2020-03-22,0,0,0,0,13,13,101,101,0,0,0,0,0,0,"60633-2020-12",12871,"southeast",60633,12871,12858,12871,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"4","60617",12,2020-03-16,2020-03-22,22,24,27,29.1,126,138,153,167.2,17.4603174603175,17.3913043478261,0,0,0,0,"60617-2020-12",82534,"southeast",60617,82534,82396,82510,0,0,0,46.5608465608466,36.986301369863,0,46.5608465608466,36.986301369863,0,27.996615968876,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-2.59824616872154,0,-3.4249534631117
"5","60654",12,2020-03-16,2020-03-22,14,17,73,88.8,53,64,277,334.5,26.4150943396226,26.5625,0,0,0,0,"60654-2020-12",19135,"northeast",60654,19135,19071,19118,0,0,0,70.440251572327,100,0,70.440251572327,100,0,57.1144603627468,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,43.4017538312785,0,5.52982341619349
"6","60651",12,2020-03-16,2020-03-22,14,14,22,22.1,63,71,100,112.3,22.2222222222222,19.7183098591549,0,0,0,0,"60651-2020-12",63218,"northwest",60651,63218,63147,63204,0,0,0,59.2592592592593,30.1369863013699,0,59.2592592592593,30.1369863013699,0,29.9566462531549,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-7.59824616872154,0,1.33695129879307
"7","60660",12,2020-03-16,2020-03-22,13,17,30,39.3,53,61,123,141.1,24.5283018867925,27.8688524590164,0,0,0,0,"60660-2020-12",43242,"northeast",60660,43242,43181,43225,0,0,0,65.4088050314465,41.0958904109589,0,65.4088050314465,41.0958904109589,0,35.6896809889438,1,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,0.401753831278459,0,3.6430309633633
"8","60623",12,2020-03-16,2020-03-22,12,12,14,14,72,78,84,90.7,16.6666666666667,15.3846153846154,0,0,0,0,"60623-2020-12",85979,"central",60623,85979,85901,85967,0,0,0,44.4444444444444,19.1780821917808,0,44.4444444444444,19.1780821917808,0,21.3198833152419,1,5,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-15.5982461687215,0,-4.21860425676249
"9","60608",12,2020-03-16,2020-03-22,13,15,16,18.9,89,100,112,126.3,14.6067415730337,15,0,0,0,0,"60608-2020-12",79205,"central",60608,79205,79105,79190,0,0,0,38.9513108614232,21.9178082191781,0,38.9513108614232,21.9178082191781,0,20.3972175408873,1,5,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-13.5982461687215,0,-6.27852935039545
"10","60652",12,2020-03-16,2020-03-22,12,12,27,27.3,32,38,73,86.5,37.5,31.5789473684211,0,0,0,0,"60652-2020-12",43907,"southwest",60652,43907,43869,43895,0,0,0,100,36.986301369863,0,100,36.986301369863,0,45.9040549849706,1,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,-2.59824616872154,0,16.6147290765708
