"","ZCTA5","TOTPOP","REGION","ZCTA5No","CasCm","DthCm","TstCm","PosRt","PkCasWk","PkCasDat","PkCas","PkCasRt","PkDthWk","PkDthDat","PkDth","PkDthRt","PkPosWk","PkPosDat","PkPosRt","EndDate","EndDateCh","CasRt_c","DthRt_c","PosRt_c","CasRtRnk","DthRtRnk","PosRtRnk"
"1","60601",14675,"central",60601,1102,12,30256,"3.6",46,"11/15/20",78,532,16,"04/19/20",1,6.8,12,"03/22/20",32.258064516129,2021-06-13,"June 13, 2021",7509.36967632027,81.7717206132879,3.64225277630883,49,49,50
"2","60602",1244,"central",60602,107,2,2972,"3.6",45,"11/08/20",8,643,50,"12/13/20",1,80.4,16,"04/19/20",20,2021-06-13,"June 13, 2021",8601.28617363344,160.771704180064,3.60026917900404,39,36,51
"3","60603",1174,"central",60603,81,0,2928,"2.8",47,"11/22/20",9,767,12,"03/22/20",0,0,47,"11/22/20",13.8461538461538,2021-06-13,"June 13, 2021",6899.48892674617,0,2.76639344262295,54,57,56
"4","60604",782,"central",60604,109,0,4609,"2.4",45,"11/08/20",10,0,12,"03/22/20",0,0,18,"05/03/20",31.25,2021-06-13,"June 13, 2021",13938.6189258312,0,2.36493816446084,4,58,58
"5","60605",27519,"central",60605,1968,12,49308,"4",47,"11/22/20",160,581,18,"05/03/20",1,3.6,16,"04/19/20",28.2828282828283,2021-06-13,"June 13, 2021",7151.42265343944,43.6062356917039,3.99123874422,50,53,45
"6","60606",3101,"central",60606,325,3,9875,"3.3",45,"11/08/20",19,613,26,"06/28/20",1,32.2,16,"04/19/20",17.6470588235294,2021-06-13,"June 13, 2021",10480.4901644631,96.7429861335053,3.29113924050633,19,46,53
"7","60607",29591,"central",60607,2697,9,70180,"3.8",15,"04/12/20",204,689,55,"01/24/21",2,6.8,15,"04/12/20",172.881355932203,2021-06-13,"June 13, 2021",9114.25771349397,30.4146531039843,3.84297520661157,33,55,48
"8","60608",79205,"central",60608,8168,142,115812,"7.1",46,"11/15/20",517,653,24,"06/14/20",10,12.6,14,"04/05/20",38.3084577114428,2021-06-13,"June 13, 2021",10312.4802727101,179.281611009406,7.05280972610783,20,33,21
"9","60609",61495,"southwest",60609,7403,154,83393,"8.9",46,"11/15/20",451,733,20,"05/17/20",11,17.9,16,"04/19/20",46.177370030581,2021-06-13,"June 13, 2021",12038.3771038296,250.426863972681,8.87724389337234,12,12,14
"10","60610",39019,"northeast",60610,3586,32,77059,"4.7",46,"11/15/20",260,666,50,"12/13/20",5,12.8,12,"03/22/20",33.3333333333333,2021-06-13,"June 13, 2021",9190.39442322971,82.0113278146544,4.65357712921268,31,48,40
"11","60611",32426,"northeast",60611,2310,17,59162,"3.9",46,"11/15/20",150,463,51,"12/20/20",2,6.2,14,"04/05/20",18.8235294117647,2021-06-13,"June 13, 2021",7123.9129093937,52.4270647011657,3.90453331530374,51,52,47
"12","60612",34311,"central",60612,3617,67,86816,"4.2",47,"11/22/20",218,635,49,"12/06/20",8,23.3,13,"03/29/20",29.3838862559242,2021-06-13,"June 13, 2021",10541.8087493807,195.272653085016,4.16628271286399,18,30,43
"13","60613",50113,"northeast",60613,3906,51,96616,"4",46,"11/15/20",293,585,19,"05/10/20",8,16,14,"04/05/20",39.6946564885496,2021-06-13,"June 13, 2021",7794.38469059925,101.769999800451,4.04280864453093,47,45,44
"14","60614",71308,"northeast",60614,5947,93,150027,"4",45,"11/08/20",396,555,16,"04/19/20",15,21,14,"04/05/20",28.8590604026846,2021-06-13,"June 13, 2021",8339.87771358052,130.42014921187,3.96395315509875,42,39,46
"15","60615",41563,"southeast",60615,2479,40,89102,"2.8",46,"11/15/20",143,344,53,"01/10/21",5,12,13,"03/29/20",24.8,2021-06-13,"June 13, 2021",5964.43952553954,96.2394437360152,2.7822046643173,56,47,55
"16","60616",54464,"central",60616,3852,99,86983,"4.4",46,"11/15/20",218,400,16,"04/19/20",7,12.9,14,"04/05/20",36.8794326241135,2021-06-13,"June 13, 2021",7072.56169212691,181.771445358402,4.42845153650713,52,32,41
