"","ZCTA5","TOTPOP","REGION","ZCTA5No","CasCm","DthCm","TstCm","PosRt","PkCasWk","PkCasDat","PkCas","PkCasRt","PkDthWk","PkDthDat","PkDth","PkDthRt","PkPosWk","PkPosDat","PkPosRt","EndDate","EndDateCh","CasRt_c","DthRt_c","PosRt_c","CasRtRnk","DthRtRnk","PosRtRnk"
"1","60601",14675,"central",60601,1000,11,23004,"4.3",46,"11/15/20",78,532,16,"04/19/20",1,6.8,12,"03/22/20",32.258064516129,2021-03-28,"March 28, 2021",6814.31005110733,74.9574105621806,4.34707007476961,46,49,50
"2","60602",1244,"central",60602,99,2,2178,"4.5",45,"11/08/20",8,643,50,"12/13/20",1,80.4,16,"04/19/20",20,2021-03-28,"March 28, 2021",7958.19935691318,160.771704180064,4.54545454545455,36,35,44
"3","60603",1174,"central",60603,72,0,2107,"3.4",47,"11/22/20",9,767,12,"03/22/20",0,0,47,"11/22/20",13.8461538461538,2021-03-28,"March 28, 2021",6132.87904599659,0,3.4171808258187,54,57,56
"4","60604",782,"central",60604,98,0,2177,"4.5",45,"11/08/20",10,1279,12,"03/22/20",0,0,18,"05/03/20",31.25,2021-03-28,"March 28, 2021",12531.9693094629,0,4.5016077170418,5,58,47
"5","60605",27519,"central",60605,1777,11,39168,"4.5",47,"11/22/20",161,585,18,"05/03/20",1,3.6,16,"04/19/20",28.2828282828283,2021-03-28,"March 28, 2021",6457.35673534649,39.9723827173953,4.53686683006536,49,53,45
"6","60606",3101,"central",60606,293,3,7560,"3.9",45,"11/08/20",19,613,26,"06/28/20",1,32.2,16,"04/19/20",17.6470588235294,2021-03-28,"March 28, 2021",9448.56497903902,96.7429861335053,3.87566137566138,18,44,54
"7","60607",29591,"central",60607,2425,8,54697,"4.4",15,"04/12/20",204,689,56,"01/24/21",2,6.8,15,"04/12/20",172.881355932203,2021-03-28,"March 28, 2021",8195.05930857355,27.0352472035416,4.43351554929886,31,55,48
"8","60608",79205,"central",60608,7582,136,93006,"8.2",46,"11/15/20",515,650,24,"06/14/20",10,12.6,14,"04/05/20",38.3084577114428,2021-03-28,"March 28, 2021",9572.62799065715,171.70633167098,8.15216222609294,17,31,21
"9","60609",61495,"southwest",60609,6777,139,68405,"9.9",46,"11/15/20",451,733,20,"05/17/20",11,17.9,16,"04/19/20",46.177370030581,2021-03-28,"March 28, 2021",11020.4081632653,226.034636962355,9.90717052847014,12,13,14
"10","60610",39019,"northeast",60610,3162,32,61163,"5.2",46,"11/15/20",262,672,50,"12/13/20",6,15.4,12,"03/22/20",33.3333333333333,2021-03-28,"March 28, 2021",8103.74432968554,82.0113278146544,5.16979219462747,34,48,39
"11","60611",32426,"northeast",60611,2091,15,47452,"4.4",46,"11/15/20",151,466,51,"12/20/20",2,6.2,14,"04/05/20",18.8235294117647,2021-03-28,"March 28, 2021",6448.52895824339,46.2591747363227,4.4065582061873,50,51,49
"12","60612",34311,"central",60612,3135,63,66225,"4.7",47,"11/22/20",218,635,49,"12/06/20",8,23.3,13,"03/29/20",29.3838862559242,2021-03-28,"March 28, 2021",9137.01145405264,183.61458424412,4.73386183465459,23,28,42
"13","60613",50113,"northeast",60613,3483,44,76863,"4.5",46,"11/15/20",292,583,19,"05/10/20",8,16,14,"04/05/20",39.6946564885496,2021-03-28,"March 28, 2021",6950.29233931315,87.801568455291,4.5314390539011,44,46,46
"14","60614",71308,"northeast",60614,5293,90,124215,"4.3",45,"11/08/20",397,557,16,"04/19/20",15,21,14,"04/05/20",28.8590604026846,2021-03-28,"March 28, 2021",7422.72956750996,126.21304762439,4.26116008533591,39,38,51
"15","60615",41563,"southeast",60615,2059,36,69492,"3",46,"11/15/20",142,342,54,"01/10/21",5,12,13,"03/29/20",24.8,2021-03-28,"March 28, 2021",4953.92536631138,86.6154993624137,2.96293098486157,56,47,57
"16","60616",54464,"central",60616,3416,89,67219,"5.1",46,"11/15/20",216,397,16,"04/19/20",7,12.9,14,"04/05/20",36.8794326241135,2021-03-28,"March 28, 2021",6272.03290246768,163.410693301998,5.08189648760023,51,34,40
"17","60617",82534,"southeast",60617,7257,145,76705,"9.5",46,"11/15/20",523,634,19,"05/10/20",8,9.7,14,"04/05/20",36.90036900369,2021-03-28,"March 28, 2021",8792.73996171275,175.685172171469,9.46092171305652,28,30,16
"18","60618",94395,"northeast",60618,7758,111,110991,"7",46,"11/15/20",535,567,19,"05/10/20",7,7.4,15,"04/12/20",34.5454545454545,2021-03-28,"March 28, 2021",8218.65564913396,117.590974098204,6.98975592615617,30,41,27
"19","60619",61258,"southeast",60619,4010,119,60191,"6.7",46,"11/15/20",238,388,15,"04/12/20",11,18,13,"03/29/20",44.1441441441441,2021-03-28,"March 28, 2021",6546.08377681282,194.260341506416,6.66212556694522,47,26,31
"20","60620",68096,"southwest",60620,4780,137,68774,"7",46,"11/15/20",276,405,15,"04/12/20",16,23.5,13,"03/29/20",47.787610619469,2021-03-28,"March 28, 2021",7019.50187969925,201.186560150376,6.95030098583767,42,22,28
"21","60621",29042,"southwest",60621,2056,79,26036,"7.9",46,"11/15/20",121,417,18,"05/03/20",9,31,16,"04/19/20",45.2380952380952,2021-03-28,"March 28, 2021",7079.40224502445,272.019833344811,7.89675833461361,41,7,22
"22","60622",52793,"northeast",60622,4743,75,87833,"5.4",45,"11/08/20",342,648,18,"05/03/20",12,22.7,15,"04/12/20",33.0097087378641,2021-03-28,"March 28, 2021",8984.145625367,142.06428882617,5.40002049343641,26,37,37
"23","60623",85979,"central",60623,10356,241,81150,"12.8",18,"05/03/20",679,790,20,"05/17/20",22,25.6,18,"05/03/20",53.1714956930305,2021-03-28,"March 28, 2021",12044.8016376092,280.30100373347,12.7615526802218,7,6,7
